date,price,volume,change_rate
2023-08-23,26436.2,1611550752.0,1.52
2023-08-22,26039.9,1242624028.0,-0.33
2023-08-21,26126.0,1073778600.0,-0.25
2023-08-20,26190.8,628579200.0,0.35
2023-08-19,26099.4,862324176.0,0.18
2023-08-18,26053.2,2424250260.0,-2.19
2023-08-17,26635.7,3540417244.0,-7.28
2023-08-16,28726.3,1255626573.0,-1.61
2023-08-15,29195.3,987093093.0,-0.79
2023-08-14,29426.7,1156469310.0,0.43
2023-08-13,29300.1,395258349.0,-0.44
2023-08-12,29428.2,325770174.0,0.02
2023-08-11,29420.8,815250368.0,-0.1
2023-08-10,29449.0,942368000.0,-0.44
2023-08-09,29578.0,1469139260.0,-0.67
2023-08-08,29777.4,1863171918.0,1.96
2023-08-07,29204.2,1202920998.0,0.42
2023-08-06,29081.3,466173239.00000006,0.05
2023-08-05,29068.1,422940855.0,-0.13
2023-08-04,29105.5,914785865.0,-0.29
2023-08-03,29189.3,1053149944.0,0.05
2023-08-02,29173.7,1966599117.0,-1.81
2023-08-01,29712.2,1901877922.0000002,1.64
2023-07-31,29232.4,930759616.0,-0.17
2023-07-30,29281.7,602617386.0,-0.24
2023-07-29,29353.5,408013650.0,0.13
2023-07-28,29315.0,921077300.0,0.32
2023-07-27,29222.7,888954534.0,-0.44
2023-07-26,29352.2,1301183026.0,0.42
2023-07-25,29228.6,849090830.0,0.17
2023-07-24,29178.1,1626095513.0,-3.02
2023-07-23,30085.9,701603188.0,1.0
2023-07-22,29788.9,550200983.0,-0.38
2023-07-21,29903.1,974542029.0000001,0.34
2023-07-20,29801.0,1499884330.0,-0.36
2023-07-19,29909.7,1045643112.0,0.14
2023-07-18,29866.8,1266352320.0,-0.91
2023-07-17,30139.7,1291184748.0,-0.32
2023-07-16,30235.5,614083005.0,-0.18
2023-07-15,30291.4,516771284.0,-0.09
2023-07-14,30317.4,2498760108.0,-3.65
2023-07-13,31466.1,3140631441.0,3.55
2023-07-12,30387.3,1642737438.0,-0.77
2023-07-11,30623.3,1220032272.0,0.68
2023-07-10,30415.3,1680141172.0,0.82
2023-07-09,30166.9,604846345.0,-0.4
2023-07-08,30288.8,527328008.0,-0.19
2023-07-07,30346.4,1408679888.0,1.45
2023-07-06,29913.1,2716408611.0,-1.97
2023-07-05,30512.8,1319068344.0,-0.83
2023-07-04,30768.4,1295965008.0,-1.23
2023-07-03,31151.3,1759736937.0,1.74
2023-07-02,30617.7,882402114.0,0.1
2023-07-01,30586.8,686979528.0,0.37
2023-06-30,30472.9,3615609585.0,0.09
2023-06-29,30445.7,1509193349.0,1.22
2023-06-28,30078.6,1535813316.0,-1.99
2023-06-27,30689.1,1713065562.0,1.39
2023-06-26,30267.0,1776975570.0,-0.65
2023-06-25,30465.3,1130871936.0,-0.22
2023-06-24,30533.6,1164856840.0,-0.48
2023-06-23,30679.4,3032658690.0,2.64
2023-06-22,29890.5,2367925410.0,-0.35
2023-06-21,29996.9,4304255181.0,5.97
2023-06-20,28307.7,2846339235.0,5.44
2023-06-19,26845.9,1246992055.0,1.92
2023-06-18,26339.7,719337207.0,-0.66
2023-06-17,26515.0,950827900.0,0.66
2023-06-16,26341.3,1823871612.0,2.93
2023-06-15,25591.3,1749933094.0,1.84
2023-06-14,25129.5,1528376190.0,-3.08
2023-06-13,25929.4,1458269456.0,0.09
2023-06-12,25906.8,1055702100.0,-0.08
2023-06-11,25928.4,1016393280.0,0.33
2023-06-10,25844.0,2159783080.0,-2.4
2023-06-09,26479.3,1031633528.0,-0.08
2023-06-08,26501.1,1058718945.0,0.6
2023-06-07,26342.5,2041016900.0,-3.26
2023-06-06,27230.2,2412868022.0,5.76
2023-06-05,25747.4,2199342908.0,-5.07
2023-06-04,27122.3,645781963.0,0.19
